artifact_edge_id	loop_ref	artifact_object_id	artifact_role	artifact_category	coverage_resolution	coverage_evidence_kind	coverage_evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
artifact-edge-046956230360143	loop-013596453037573	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:de0fce79:d9058154:f93e90c4:50ed197d:cce7deaa:b3ec5377:7df8789b:5a7c49b9	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047002794955152	loop-145783631628386	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:71018be8:c28accc7:99d725e4:ae569cab:4e88096e:91852247:52f28ff9:e97f7bc5	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047009465722079	loop-160105547717190	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:0f4e41e5:42ca799a:4e815666:393c02fa:420ba6ec:7f3dae27:479225a0:bbdeff50	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047227441604518	loop-195400967763197	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:90b17245:fd21bd83:4e7dfd21:b410f58b:d24ce418:d43c2c79:f681ca43:645e0c1b	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047309000451348	loop-188084167784936	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:8498dec5:74c8077c:804c0062:c4f41c8f:6b8a6e42:981e00d5:eee746ca:b2cfe134	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047501984492923	loop-205163160358801	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:1b455fed:96d71ac2:7cd411a8:a7f9376a:a248df94:324504d7:0ce68c39:35daa378	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047563551259453	loop-017158264328042	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:5c4225f2:3c9cf083:db82a1b5:c703bef0:ecbd22d8:d713e6d2:1cb13930:f5dfa3e5	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047595926382136	loop-117632340408258	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:43b48bf3:e382653c:6e8fdb3b:7d4c27db:691a5037:20b32b91:83bb9246:e42c9bfe	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047614303100154	loop-171824557107600	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:2359b643:27fbf048:11aa351a:c616cb08:ad8e815c:7128367e:22a4af0b:01efe0f5	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047788311424778	loop-076977415254469	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:caf9fd56:128592f1:b63eb116:c8615098:a2593270:dddb4e94:e719f551:6802430a	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047966516539655	loop-240449698951449	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:be3368f6:b046f61d:620ec24a:9dc233ce:292aaf16:27255720:1c7d506f:0a3bf3d4	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-047993062334103	loop-114450292153799	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:a749c87f:c55976a2:91586fbb:c933c4b2:fd34088a:a95cb0b4:c118d2ed:462e5533	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-048011212961430	loop-009101882735758	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:7f3384ab:c2685f5f:ef586c28:26a7baef:448e58d8:55e5ed04:f4d0ed9f:468a2f2e	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-048130725909249	loop-017158264328042	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:5c4225f2:3c9cf083:db82a1b5:c703bef0:ecbd22d8:d713e6d2:1cb13930:f5dfa3e5	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-048274330295149	loop-099626837675463	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:c79b8090:d462f1c1:f99bf08a:07979638:bc6bc233:2834fcfc:187531cb:91172423	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-048324471760581	loop-173437650179874	artifact-object-264158322595193	definition	definition	discovered	parent_metadata	parent:definition_metadata	independent_review_approved	sha256:a201aaf5:88961951:c44d6c70:d1d5d349:6dce9aab:bc248b6b:cb364fb5:c9096707	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
artifact-edge-048353887620144	loop-074474204902689	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:2149fa33:0455d7bb:ddc23b8b:31cd508a:c7827a2b:07c545c1:b113c550:a7da5684	sha256:52e4bbc9:d3ea5257:3c9c68f7:45557782:2706cc96:c23ea902:b36f8d6e:4453b60e
