effect_edge_id	loop_ref	effect_object_id	effect_role	effect_category	coverage_resolution	policy_status	evidence_kind	evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
effect-edge-098372716790020	loop-006952591142373	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:66d2b9c6:960633f4:2153bca4:cbaa9dda:4416beb1:35ee2def:32dca83a:0182a650	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-123171018571511	loop-006952591142373	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:66d2b9c6:960633f4:2153bca4:cbaa9dda:4416beb1:35ee2def:32dca83a:0182a650	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-207069144580470	loop-006952591142373	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:66d2b9c6:960633f4:2153bca4:cbaa9dda:4416beb1:35ee2def:32dca83a:0182a650	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-133391425918567	loop-006952591142373	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:66d2b9c6:960633f4:2153bca4:cbaa9dda:4416beb1:35ee2def:32dca83a:0182a650	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-214380104805488	loop-007711018030296	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:00158725:1a131c74:cc7a7000:adce1e2b:b80285c4:d0487e34:c5004b04:2cc01716	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-208734623679034	loop-007711018030296	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:00158725:1a131c74:cc7a7000:adce1e2b:b80285c4:d0487e34:c5004b04:2cc01716	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-021382948452757	loop-007711018030296	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:00158725:1a131c74:cc7a7000:adce1e2b:b80285c4:d0487e34:c5004b04:2cc01716	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-122306230720394	loop-007711018030296	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:00158725:1a131c74:cc7a7000:adce1e2b:b80285c4:d0487e34:c5004b04:2cc01716	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-209797085240642	loop-007711018030296	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:00158725:1a131c74:cc7a7000:adce1e2b:b80285c4:d0487e34:c5004b04:2cc01716	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-159538674563249	loop-007871925968103	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:ba564d24:00e7e7e9:83e87af6:4176a99c:104a0148:10aa1982:b70daa45:ec4b64b9	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-191700786359641	loop-007871925968103	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:ba564d24:00e7e7e9:83e87af6:4176a99c:104a0148:10aa1982:b70daa45:ec4b64b9	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-159985328479709	loop-007871925968103	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:ba564d24:00e7e7e9:83e87af6:4176a99c:104a0148:10aa1982:b70daa45:ec4b64b9	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-163051659316244	loop-007871925968103	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:ba564d24:00e7e7e9:83e87af6:4176a99c:104a0148:10aa1982:b70daa45:ec4b64b9	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-150158355561484	loop-007871925968103	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:ba564d24:00e7e7e9:83e87af6:4176a99c:104a0148:10aa1982:b70daa45:ec4b64b9	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-129205665870666	loop-009101882735758	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:7f3384ab:c2685f5f:ef586c28:26a7baef:448e58d8:55e5ed04:f4d0ed9f:468a2f2e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-018567110991724	loop-009101882735758	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:7f3384ab:c2685f5f:ef586c28:26a7baef:448e58d8:55e5ed04:f4d0ed9f:468a2f2e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-121262382939936	loop-009101882735758	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:7f3384ab:c2685f5f:ef586c28:26a7baef:448e58d8:55e5ed04:f4d0ed9f:468a2f2e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-164096913280488	loop-009101882735758	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:7f3384ab:c2685f5f:ef586c28:26a7baef:448e58d8:55e5ed04:f4d0ed9f:468a2f2e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-164727345063764	loop-009101882735758	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:7f3384ab:c2685f5f:ef586c28:26a7baef:448e58d8:55e5ed04:f4d0ed9f:468a2f2e	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-046199398332859	loop-009255980228330	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:7737118c:6166b216:766bbcc1:1a04e6ae:bcea9cc6:6a732170:3a4e6e9f:b9c8451c	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-074569628450108	loop-009255980228330	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:7737118c:6166b216:766bbcc1:1a04e6ae:bcea9cc6:6a732170:3a4e6e9f:b9c8451c	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-086414629127040	loop-009255980228330	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:7737118c:6166b216:766bbcc1:1a04e6ae:bcea9cc6:6a732170:3a4e6e9f:b9c8451c	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-049742628820359	loop-009255980228330	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:7737118c:6166b216:766bbcc1:1a04e6ae:bcea9cc6:6a732170:3a4e6e9f:b9c8451c	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-029947939379957	loop-009255980228330	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:7737118c:6166b216:766bbcc1:1a04e6ae:bcea9cc6:6a732170:3a4e6e9f:b9c8451c	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-252138887241334	loop-009793405207571	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2f6c2d32:8e8eb44a:d91e0826:90df1a84:431de6c7:2815c8c3:2938aad9:931e300c	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-150601109044450	loop-009793405207571	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2f6c2d32:8e8eb44a:d91e0826:90df1a84:431de6c7:2815c8c3:2938aad9:931e300c	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-010255190893852	loop-009793405207571	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2f6c2d32:8e8eb44a:d91e0826:90df1a84:431de6c7:2815c8c3:2938aad9:931e300c	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-197695433255041	loop-009793405207571	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2f6c2d32:8e8eb44a:d91e0826:90df1a84:431de6c7:2815c8c3:2938aad9:931e300c	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-080306015047870	loop-009793405207571	effect-object-107695997068401	category_coverage	wallet	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:2f6c2d32:8e8eb44a:d91e0826:90df1a84:431de6c7:2815c8c3:2938aad9:931e300c	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-264578809924741	loop-009816846305695	effect-object-239040216184217	category_coverage	call	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5ffc0154:0dcb782a:b9e45fab:ba408424:cbf4b1d9:639ec3ee:0981b43d:87d47b3a	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-272430809339102	loop-009816846305695	effect-object-233130226191245	category_coverage	mail	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5ffc0154:0dcb782a:b9e45fab:ba408424:cbf4b1d9:639ec3ee:0981b43d:87d47b3a	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-155134882609855	loop-009816846305695	effect-object-196416292935013	category_coverage	post	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5ffc0154:0dcb782a:b9e45fab:ba408424:cbf4b1d9:639ec3ee:0981b43d:87d47b3a	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
effect-edge-088459760501543	loop-009816846305695	effect-object-242118290869595	category_coverage	render	unverified	unverified	unverified	unverified	candidate_pending_review	sha256:5ffc0154:0dcb782a:b9e45fab:ba408424:cbf4b1d9:639ec3ee:0981b43d:87d47b3a	sha256:35ee32b0:ef8e2b1a:6fae6025:6c0eb92b:4135bfe4:d5e13818:e22fe01f:9cdd6930
